Taxon,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Actinomyces_naeslundii,-0.18595429,-0.36662686,0.5739024,-0.18234792,-0.7716721,-0.022842422,0.7622256,-0.1145747,-0.015505493,-0.1345295,-0.20735747,-0.16568151,-0.51361454,0.13477822,-0.40270665,-0.44344997,-0.1422792,0.5095446,0.23408964,0.3246745,0.41352564,-0.17678495,0.020991564,-0.054879256,-0.10455034,0.10789064,-0.333409,-0.2741571,-0.13518304,-0.19711547,-0.6236134,-0.6322145,0.54183173,0.42698053,-0.09276913,-0.2119084,0.1653033,-0.18860215,-0.2365571,-0.0052328147,-0.3154983,0.067231886,0.44383064,-0.6034143,-0.37948966,-0.21294713,-0.4265102,0.323879,0.1545461,-0.30578107,-0.020470068,0.05364223,-0.32403952,0.57434076,0.85137707,0.15928464,0.28631252,-0.10479711,0.28855753,0.13440263,0.23598824,0.4368248,0.14489318,-0.67023075,-0.21701449,-0.57188314,-0.10044429,-0.30375475,0.19503665,0.45342228,-0.302157,0.28503865,0.25565615,0.0066557378,0.1593359,0.4343263,-0.009646311,0.15481316,0.16448797,0.58198565,-0.03266725,0.008984059,-0.26618627,-0.32072502,0.26946396,-0.3697828,0.12449617,-0.35058916,-0.014489967,0.19939141,-0.010601242,-0.29398423,-0.04911197,0.1539776,-0.7805097,-0.065694004,-0.3360107,-0.48158646,0.29963216,0.26122236
Actinomyces_odontolyticus,-0.051274046,-0.046939597,0.10976219,0.12849146,-0.21102732,0.10851423,0.16130313,-0.22274154,-0.2139995,-0.25068384,-0.14747089,0.2030095,0.04916144,-0.08860735,-0.07296488,0.15711388,0.059621587,0.087245956,-0.046014547,0.47506207,0.15000027,0.2691193,0.24034548,0.04775852,0.34560764,-0.004870523,-0.25843567,-0.37685224,-0.02647473,0.1998442,-0.40813214,0.086789854,0.19775733,0.18782488,0.21953106,0.30780852,-0.09961322,-0.12302853,-0.1215077,0.099355966,-0.08270343,-0.19412637,0.005777184,-0.034169488,0.20559752,-0.12286968,0.11156288,-0.041815005,0.17621177,-0.13919869,-0.06806327,-0.120056674,0.08087827,0.42693052,0.09291918,0.22259703,0.18391266,0.12354514,-0.04199925,-0.14514016,0.22545418,0.099253945,-0.12250437,-0.6799791,-0.15267381,-0.21048886,-0.013225682,-0.12911513,-0.07407839,0.051126048,-0.02553894,-0.1895113,-0.17831662,0.25551507,0.19088578,-0.29232168,0.22691971,-0.109759234,-0.04499986,-0.0060415864,0.1497669,0.24167183,-0.15697487,0.06901199,0.042643555,-0.06793179,-0.17268312,-0.09681927,-0.16543554,-0.14472036,-0.25618097,-0.1360926,-0.29055765,-0.10547298,-0.30107415,-0.21339688,-0.21561337,-0.059102036,-0.1368914,-0.07569501
Actinomyces_oris,0.4045063,0.04336665,0.084253,-0.18989322,-0.53916633,0.26067424,0.3221954,0.09060642,-0.17336488,-0.5195955,-0.19000626,-0.26991084,0.15132031,0.018709105,-0.22891296,-0.08634689,0.015410177,0.12310337,0.12189122,0.47188812,0.43756193,0.5274959,0.24468681,0.31874734,0.061563652,-0.060361728,-0.02443616,-0.3013669,0.016175732,0.23612952,0.17798482,-0.058977626,-0.07298139,0.45504737,-0.32786575,0.32139397,0.16447984,0.09469211,-0.025131017,0.044977784,-0.3176551,-0.26173097,0.1596443,-0.014856495,-0.0860742,-0.07007432,-0.34623423,-0.14592338,-0.08205709,-0.27699992,-0.30763876,-0.14707583,0.29778084,0.019206293,0.15863651,0.195539,-0.13343525,0.27728394,0.29074702,-0.14590845,0.16000286,0.35025704,-0.9143661,-0.53714514,-0.13423046,-0.16871807,-0.6883796,-0.1521875,-0.15154617,-0.36835492,0.284508,-0.19238818,0.17979553,-0.117979534,0.14584778,-0.31592506,0.3683235,-0.26419392,0.19332893,0.21131305,0.3951385,0.18263254,-0.098046005,0.38854992,0.16294217,-0.25115144,0.022396147,-0.5073139,0.13461742,-0.32052988,-0.04923976,0.10070629,-0.28163847,0.09454778,0.39691648,0.16283123,-0.12955724,0.20908262,0.29906768,-0.02541235
Actinomyces_sp_HMSC035G02,0.1565903,-0.35544682,-0.21524134,0.1765568,-0.3240326,0.24683517,-0.6390613,-0.41826463,0.09112273,-0.45762068,-0.61228037,-0.44101143,-0.03709671,0.21380049,0.64585716,-0.13176797,0.40671447,-0.09890182,-0.10325067,0.37705076,0.31483033,0.089102805,-0.058706313,0.5178799,0.2446095,-0.014428176,-0.35330486,-0.066075504,-0.034113318,0.4809343,-0.32599086,-0.032093856,0.23108979,0.05060982,0.50089514,0.37616134,0.1711804,-0.32847813,0.2487162,-0.5871693,-0.34003958,0.041677102,0.21053728,-0.34822196,-0.06376164,-0.84815043,-0.48722768,-0.17727023,-0.10269657,0.013072118,0.85644597,-0.29600388,0.15243566,0.41319758,-0.21316864,-0.16296749,-0.035673425,0.21134081,0.02320791,0.2554087,-0.20352918,-0.16167066,-0.743463,-0.8641151,0.0041764453,-0.22770064,-0.6331665,-0.0035390034,-0.062314983,-0.45702127,-0.38835698,-0.13774519,-0.036188282,0.76053303,-0.09314093,0.59199923,0.40706098,-0.31548834,0.31487772,-0.23336828,1.2432196,-0.10395676,-0.25359565,0.06663704,0.21085823,-0.5555389,-0.09324763,-0.24871624,0.9990795,0.43768328,0.087239824,0.09264989,-0.3521777,-0.7784871,-0.02742219,-0.40254414,-0.039621636,0.4138394,0.23281427,-0.525008
Actinomyces_sp_HPA0247,0.1889151,0.1394436,-0.24655463,-0.44358656,-0.5404378,-0.30919728,0.97490245,-0.7087289,0.031744003,-0.10883401,-1.1478133,-0.07069912,0.4955004,0.07224864,0.8854317,-0.013118058,0.7048334,0.68022954,-0.09213195,0.16059238,-0.26746523,0.24412619,-0.5677086,0.9568037,-0.11542156,-0.39367902,-0.24584603,0.15779702,-0.31683344,0.9367367,-0.31624794,-0.3743909,0.11337367,-0.8722076,0.28695774,-0.41162574,-0.3383753,-0.47730213,0.53485286,-0.5915596,-0.32624397,0.60119593,-0.035551667,-0.15337196,0.28447974,0.05933523,-0.14892192,-0.8761289,0.7942562,-0.2902172,-0.3467304,1.5099834,0.039048165,-0.43671778,0.2924831,-0.83275676,0.07488114,0.9435772,0.42202199,-0.7783069,-0.71937966,0.7653439,-0.12507227,0.055226773,0.48423448,-0.38411742,-0.44914842,0.18949117,0.71071833,0.06399089,-0.2546638,-0.68598,-1.0272679,-0.15923691,0.46147737,0.44979063,-0.7334957,0.15212475,-0.12894726,0.6387367,0.9155011,0.66686213,-0.38632417,0.85784835,-0.7705436,-0.97540116,-0.6466936,-0.8596839,-0.12334651,-0.1692755,-0.65896577,0.5699069,0.027089119,-0.95501125,0.6655558,0.052737024,0.21948461,-0.44298935,-0.48534304,0.24760446
Actinomyces_sp_ICM47,-0.27379408,0.08006596,-0.33663812,0.12401737,-0.69206804,-0.41742045,0.041835416,0.08282523,0.39606416,-0.2924904,-0.87843966,0.99205095,0.650459,-0.12784679,0.3923754,-0.39847654,-0.17989714,0.02479297,0.22685003,0.13088784,-0.27103752,-0.46024585,0.24649268,0.31316286,0.6976409,-0.45791975,-0.2884304,-0.20856228,-0.7962601,-0.30803755,-0.65979457,0.860044,0.17526546,0.24480204,0.18089755,0.6597702,0.109556645,-0.016617298,0.18696862,0.28535944,-0.14571123,0.70537096,0.65673566,-0.06987056,0.39796442,-0.21408984,0.28673166,-0.08920033,0.49270365,-0.18999018,-0.02945249,0.31031707,0.31071267,-0.22243468,0.5618433,-0.23024763,-0.24973568,-0.117331356,-0.29800993,-0.40878862,-0.16209185,0.33908102,-0.51608723,-0.27049208,-0.016787022,-0.26796472,0.07700773,-0.20158502,-0.40568718,0.046600014,-0.08686109,-0.014566191,-0.4858945,0.18406409,0.0039252564,-0.0028312057,-0.0122208,-0.55057544,0.7297924,0.26797476,-0.17987399,0.51082426,0.4546312,0.59851015,-0.18811443,0.07501307,-0.673962,0.117827654,-0.25694513,-0.35196406,-0.4742666,-0.035053432,0.13319406,-0.3731048,0.38422054,-0.50783783,0.072372824,-0.1340085,0.051353894,-0.12142268
Actinomyces_sp_oral_taxon_181,-0.32311457,-1.0583225,0.022752743,0.10855413,-0.6733593,0.70723337,-0.2174288,0.16406184,-0.859514,-0.29256415,-0.9903878,-0.552881,-0.8184564,-0.34215885,0.016320493,0.44908744,0.802591,0.7177548,0.2615305,1.2027892,0.22243115,0.94703513,-0.5672395,-0.047323227,0.09043981,0.03162211,0.13092567,0.03492041,0.036734417,-0.30831885,0.054683015,0.14078735,0.07138537,-0.35325938,-0.06303053,-0.3545273,-0.43125975,-0.15769055,0.5591209,-1.1371839,-0.36401364,1.1892893,1.1089947,-0.6140958,-0.016137183,-0.8580663,-0.3797075,-0.81668574,0.014976144,-0.07253823,-0.20800447,-0.7532624,0.08409552,0.48233902,-0.12794739,-0.3372554,-0.059789196,0.5339858,-0.9757792,0.05885102,-0.7777512,-0.28076172,-0.2663134,-0.2386077,0.22283578,-0.07865487,-0.24578568,0.27906778,0.0065299273,-0.77517474,-0.7450046,-0.39500874,0.067196935,0.6851595,-0.7178511,0.55858755,0.7995031,0.106589675,0.06350027,0.110090554,1.3329601,0.0053423718,-0.19736417,-0.95821553,-0.08713227,-0.389097,-0.80287397,0.032931164,1.063658,-0.18105346,0.1849538,-0.17050645,-0.19171338,-1.0485847,0.5816069,-1.3496115,-0.20944464,-0.019504532,0.75462186,-0.4416116
Actinomyces_sp_S6_Spd3,0.98963785,-0.37586987,1.1036301,0.848443,-0.43250468,0.6257673,0.31523824,1.2842528,0.3916269,-0.4603693,-0.47617623,-0.18465388,-0.25362122,-0.46802348,0.29224643,0.676242,-0.14882523,0.27671573,0.25525144,0.5264878,0.04856865,-0.305933,-0.17052406,0.40254653,0.0013974085,-0.8218584,-0.35872418,0.04344263,-0.3764817,0.57979727,0.38988918,0.15084061,0.5082354,0.25523376,-0.6691886,0.96965826,0.008773863,0.22652847,0.14166328,-0.4835948,-0.62376845,-0.3863194,-0.6385488,0.8057648,0.7513728,-0.6212005,0.061728984,-0.16123027,-0.14500615,-1.0119885,-0.6923684,0.03988409,-0.14653634,-0.20949712,0.4679078,0.45295253,0.27279708,-0.015826553,-0.22220804,0.5122249,-0.27947786,0.2344323,1.0851634,-1.1386645,0.024250627,-0.4036124,0.18042034,0.27519742,0.90563595,0.29145867,-1.3218744,0.6438119,-0.6657265,-0.9413742,1.167976,0.6576156,0.062961474,-0.32529348,0.47805458,0.03448587,0.6751791,-0.52190274,-0.4631641,-0.6936513,-0.12832706,-0.09128675,-1.2019144,0.7511195,-0.03169058,-0.32344487,0.49142432,0.5645935,0.02902162,-0.7121689,-0.7166634,-0.0066276193,-0.32391843,-0.4184401,0.5857122,-0.552349
Adlercreutzia_equolifaciens,-0.29470828,0.44800043,0.12669419,-0.010720227,-0.3222134,-0.0976144,-0.17730555,-0.015614353,0.17141041,0.3405282,-0.16957185,-0.41544938,-0.320735,0.07651405,-0.35358676,-0.3128279,0.38432276,-0.09689043,-0.10639156,-0.028909802,0.1933563,0.05658289,1.1064112e-06,-0.18107152,-0.023616716,-0.18865201,-0.27247745,-0.14269884,0.20021541,0.26035953,0.11656978,-0.054185137,0.26472676,0.016283609,0.19084273,0.36597508,0.083834544,-0.17257103,-0.35033888,0.08588646,-0.03675901,-0.19532654,-0.07508688,0.17254207,0.18007083,-0.058442943,0.20424145,0.15039659,-0.04837995,0.037089843,0.3118261,-0.050772384,0.03566502,-0.2036618,0.03613875,0.1146483,-0.30289117,0.21496497,-0.044475198,0.12540779,-0.17466688,0.38453227,-0.019352216,-0.31460273,-0.12911434,0.26504198,0.029950885,-0.0041378886,-0.31390148,0.0064559914,0.3433871,-0.057172433,0.30620944,-0.030529767,-0.05429966,-0.16552316,-0.10762409,0.2726063,0.34837592,0.040776037,-0.095687576,-0.16480643,-0.049973298,-0.32995465,0.0108279735,0.15882951,0.11722891,-0.092346765,-0.15515678,-0.26805615,-0.19783695,0.060753703,-0.5195405,0.1120667,0.061434098,-0.42290854,-0.32688105,0.15216604,-0.2525311,0.13402343
Aeriscardovia_aeriphila,-0.25945336,-0.7219239,-0.6354127,0.13013054,0.10694017,0.8338419,0.081940055,0.6620826,-0.61025137,0.48282537,-1.5716103,-0.23770672,0.47910872,0.15191327,-0.8502159,-1.3623424,-0.50510937,-0.16880332,0.21629062,0.4588498,0.2902274,-1.4232888,1.0274104,-0.99773884,-1.2309084,1.522739,0.12518005,0.34857485,-0.46109173,-0.6370964,0.2885644,-0.5691635,-0.9883592,-0.65040225,-1.0159278,1.4906949,-0.08972631,-1.3984675,0.4323421,0.81261694,-0.9354588,0.7281107,0.17535481,-0.3369305,0.6648342,0.25657836,-0.0962078,0.0788033,-0.12699589,0.34081042,0.11616561,0.2072443,-0.27937227,0.07763851,-0.252908,0.9405277,0.1326325,-0.03737068,-0.10674377,-0.28994173,0.96686584,0.6362473,0.09816826,0.37656686,-0.6590653,-0.6032281,-0.36991352,0.53131837,-0.035861015,0.3682842,-1.3950925,-0.7048026,-0.8089681,-1.4496539,1.4871967,-0.29787654,-0.49530417,-0.05157122,-0.3468418,1.4937667,-0.11430046,-0.14826468,0.66732764,-0.36912647,0.96183425,-0.925905,0.4979113,-0.4110659,0.65628755,-0.42973638,0.09242928,0.60163224,0.056679487,0.94072956,0.5317696,-0.906667,1.5752194,0.26561925,0.43930918,-0.9399874
